agent_name,agent_type,initial_cash,holding,net_worth,profit
retail_49,Retail,13883,0,116.26,-13766.74
contrarian_0,ContrarianAgent,23238,0,8.96,-23229.04
contrarian_1,ContrarianAgent,18044,0,-9.81,-18053.81
contrarian_2,ContrarianAgent,16964,0,0.34,-16963.66
contrarian_3,ContrarianAgent,16343,0,-8.06,-16351.06
contrarian_4,ContrarianAgent,18346,0,-14.98,-18360.98
contrarian_5,ContrarianAgent,19915,0,-25.36,-19940.36
contrarian_6,ContrarianAgent,22508,0,-6.51,-22514.51
contrarian_7,ContrarianAgent,23288,0,-12.01,-23300.01
contrarian_8,ContrarianAgent,21054,0,-6.26,-21060.26
contrarian_9,ContrarianAgent,23666,0,3.75,-23662.25
contrarian_10,ContrarianAgent,17200,0,-17.57,-17217.57
contrarian_11,ContrarianAgent,19462,0,-8.64,-19470.64
contrarian_12,ContrarianAgent,23280,0,2.24,-23277.76
contrarian_13,ContrarianAgent,21939,0,-7.46,-21946.46
contrarian_14,ContrarianAgent,19291,0,-5.47,-19296.47
institutional_0,Institutional,408654,0,35.41,-408618.59
institutional_1,Institutional,636046,0,27.87,-636018.13
institutional_2,Institutional,575332,0,32.8,-575299.2
institutional_3,Institutional,370916,0,65.08,-370850.92
institutional_4,Institutional,403893,0,66.51,-403826.49
momentum_0,Momentum,45064,0,22.21,-45041.79
momentum_1,Momentum,45801,0,25.57,-45775.43
momentum_2,Momentum,53491,0,48.53,-53442.47
momentum_3,Momentum,45216,0,30.55,-45185.45
momentum_4,Momentum,55423,0,41.29,-55381.71
momentum_5,Momentum,47457,0,34.6,-47422.4
momentum_6,Momentum,42274,0,32.09,-42241.91
momentum_7,Momentum,57570,0,35.54,-57534.46
momentum_8,Momentum,45851,0,42.36,-45808.64
momentum_9,Momentum,54239,0,32.06,-54206.94
momentum_10,Momentum,43789,0,21.19,-43767.81
momentum_11,Momentum,54288,0,36.15,-54251.85
momentum_12,Momentum,46456,0,69.96,-46386.04
momentum_13,Momentum,50286,0,25.17,-50260.83
momentum_14,Momentum,50134,0,35.65,-50098.35
momentum_15,Momentum,44170,0,38.5,-44131.5
momentum_16,Momentum,45702,0,28.18,-45673.82
momentum_17,Momentum,49957,0,39.97,-49917.03
momentum_18,Momentum,50559,0,33.66,-50525.34
momentum_19,Momentum,45560,0,31.17,-45528.83
momentum_20,Momentum,50983,0,72.49,-50910.51
momentum_21,Momentum,47361,0,33.01,-47327.99
momentum_22,Momentum,42386,0,41.09,-42344.91
momentum_23,Momentum,52582,0,53.19,-52528.81
momentum_24,Momentum,43492,0,24.18,-43467.82
value_0,value_investor_agent,133944,0,52652.31,-81291.69
value_1,value_investor_agent,129914,0,9593.3,-120320.7
value_2,value_investor_agent,149496,0,32816.19,-116679.81
value_3,value_investor_agent,135905,0,62786.71,-73118.29
value_4,value_investor_agent,116986,0,10952.03,-106033.97
value_5,value_investor_agent,141074,0,34620.79,-106453.21
value_6,value_investor_agent,117807,0,27865.17,-89941.83
value_7,value_investor_agent,115155,0,4249.48,-110905.52
value_8,value_investor_agent,126712,0,12350.87,-114361.13
value_9,value_investor_agent,125524,0,11444.24,-114079.76
value_10,value_investor_agent,131259,0,39939.44,-91319.56
